time,latitud,longitud,min,prom,max,s_cod,nombre
2015-01-02,-29.0572,-70.90517,6.97,6.97,6.97,CACHset0,Cachiyuyo
2015-01-03,-29.0572,-70.90517,7.1,7.1,7.1,CACHset0,Cachiyuyo
2015-01-04,-29.0572,-70.90517,7.85,7.85,7.85,CACHset0,Cachiyuyo
2015-01-05,-29.0572,-70.90517,6.9,6.9,6.9,CACHset0,Cachiyuyo
2015-01-06,-29.0572,-70.90517,6.88,6.88,6.88,CACHset0,Cachiyuyo
2015-01-07,-29.0572,-70.90517,6.79,6.79,6.79,CACHset0,Cachiyuyo
2015-01-08,-29.0572,-70.90517,7.57,7.57,7.57,CACHset0,Cachiyuyo
2015-01-09,-29.0572,-70.90517,7.57,7.57,7.57,CACHset0,Cachiyuyo
2015-01-10,-29.0572,-70.90517,7.45,7.45,7.45,CACHset0,Cachiyuyo
2015-01-11,-29.0572,-70.90517,7.01,7.01,7.01,CACHset0,Cachiyuyo
2015-01-12,-29.0572,-70.90517,6.99,6.99,6.99,CACHset0,Cachiyuyo
2015-01-13,-29.0572,-70.90517,6.27,6.27,6.27,CACHset0,Cachiyuyo
2015-01-14,-29.0572,-70.90517,6.84,6.84,6.84,CACHset0,Cachiyuyo
2015-01-15,-29.0572,-70.90517,7.1,7.1,7.1,CACHset0,Cachiyuyo
2015-01-16,-29.0572,-70.90517,7.39,7.39,7.39,CACHset0,Cachiyuyo
2015-01-17,-29.0572,-70.90517,6.74,6.74,6.74,CACHset0,Cachiyuyo
2015-01-18,-29.0572,-70.90517,5.78,5.78,5.78,CACHset0,Cachiyuyo
2015-01-19,-29.0572,-70.90517,5.31,5.31,5.31,CACHset0,Cachiyuyo
2015-01-20,-29.0572,-70.90517,6.69,6.69,6.69,CACHset0,Cachiyuyo
2015-01-21,-29.0572,-70.90517,7.1,7.1,7.1,CACHset0,Cachiyuyo
2015-01-22,-29.0572,-70.90517,6.67,6.67,6.67,CACHset0,Cachiyuyo
2015-01-23,-29.0572,-70.90517,6.02,6.02,6.02,CACHset0,Cachiyuyo
2015-01-24,-29.0572,-70.90517,6.49,6.49,6.49,CACHset0,Cachiyuyo
2015-01-25,-29.0572,-70.90517,6.36,6.36,6.36,CACHset0,Cachiyuyo
2015-01-26,-29.0572,-70.90517,6.79,6.79,6.79,CACHset0,Cachiyuyo
2015-01-27,-29.0572,-70.90517,6.65,6.65,6.65,CACHset0,Cachiyuyo
2015-01-28,-29.0572,-70.90517,6.36,6.36,6.36,CACHset0,Cachiyuyo
2015-01-29,-29.0572,-70.90517,7.5,7.5,7.5,CACHset0,Cachiyuyo
2015-01-30,-29.0572,-70.90517,7.59,7.59,7.59,CACHset0,Cachiyuyo
2015-01-31,-29.0572,-70.90517,7.18,7.18,7.18,CACHset0,Cachiyuyo
2015-02-01,-29.0572,-70.90517,6.95,6.95,6.95,CACHset0,Cachiyuyo
2015-02-02,-29.0572,-70.90517,6.59,6.59,6.59,CACHset0,Cachiyuyo
2015-02-03,-29.0572,-70.90517,7.19,7.19,7.19,CACHset0,Cachiyuyo
2015-02-04,-29.0572,-70.90517,6.66,6.66,6.66,CACHset0,Cachiyuyo
2015-02-05,-29.0572,-70.90517,6.61,6.61,6.61,CACHset0,Cachiyuyo
2015-02-06,-29.0572,-70.90517,6.84,6.84,6.84,CACHset0,Cachiyuyo
2015-02-07,-29.0572,-70.90517,6.72,6.72,6.72,CACHset0,Cachiyuyo
2015-02-08,-29.0572,-70.90517,6.41,6.41,6.41,CACHset0,Cachiyuyo
2015-02-09,-29.0572,-70.90517,6.84,6.84,6.84,CACHset0,Cachiyuyo
2015-02-10,-29.0572,-70.90517,6.54,6.54,6.54,CACHset0,Cachiyuyo
2015-02-11,-29.0572,-70.90517,6.49,6.49,6.49,CACHset0,Cachiyuyo
2015-02-12,-29.0572,-70.90517,7.08,7.08,7.08,CACHset0,Cachiyuyo
2015-02-13,-29.0572,-70.90517,7.29,7.29,7.29,CACHset0,Cachiyuyo
2015-02-14,-29.0572,-70.90517,5.86,5.86,5.86,CACHset0,Cachiyuyo
2015-02-15,-29.0572,-70.90517,5.87,5.87,5.87,CACHset0,Cachiyuyo
2015-02-16,-29.0572,-70.90517,6.52,6.52,6.52,CACHset0,Cachiyuyo
2015-02-17,-29.0572,-70.90517,6.56,6.56,6.56,CACHset0,Cachiyuyo
