time,latitud,longitud,min,prom,max,s_cod,nombre
2023-01-01 01:00:00,-29.754064,-71.257442,9.96,10.382,10.71,RMRTPR,La Serena [El Romeral]
2023-01-01 02:00:00,-29.754064,-71.257442,9.95,10.108,10.43,RMRTPR,La Serena [El Romeral]
2023-01-01 03:00:00,-29.754064,-71.257442,10.15,10.267,10.35,RMRTPR,La Serena [El Romeral]
2023-01-01 04:00:00,-29.754064,-71.257442,9.75,9.98,10.15,RMRTPR,La Serena [El Romeral]
2023-01-01 05:00:00,-29.754064,-71.257442,9.89,10.015,10.2,RMRTPR,La Serena [El Romeral]
2023-01-01 06:00:00,-29.754064,-71.257442,9.91,10.27,10.6,RMRTPR,La Serena [El Romeral]
2023-01-01 07:00:00,-29.754064,-71.257442,10.81,11.523,12.0,RMRTPR,La Serena [El Romeral]
2023-01-01 08:00:00,-29.754064,-71.257442,11.86,12.02,12.13,RMRTPR,La Serena [El Romeral]
2023-01-01 09:00:00,-29.754064,-71.257442,11.71,11.805,11.94,RMRTPR,La Serena [El Romeral]
2023-01-01 10:00:00,-29.754064,-71.257442,11.5,11.662,11.91,RMRTPR,La Serena [El Romeral]
2023-01-01 11:00:00,-29.754064,-71.257442,11.44,11.613,11.83,RMRTPR,La Serena [El Romeral]
2023-01-01 12:00:00,-29.754064,-71.257442,11.11,11.358,11.85,RMRTPR,La Serena [El Romeral]
2023-01-01 13:00:00,-29.754064,-71.257442,11.38,12.295,13.01,RMRTPR,La Serena [El Romeral]
2023-01-01 14:00:00,-29.754064,-71.257442,12.91,13.973,14.42,RMRTPR,La Serena [El Romeral]
2023-01-01 15:00:00,-29.754064,-71.257442,14.46,14.663,14.9,RMRTPR,La Serena [El Romeral]
2023-01-01 16:00:00,-29.754064,-71.257442,14.71,14.793,14.92,RMRTPR,La Serena [El Romeral]
2023-01-01 17:00:00,-29.754064,-71.257442,14.28,14.495,14.7,RMRTPR,La Serena [El Romeral]
2023-01-01 18:00:00,-29.754064,-71.257442,13.92,14.138,14.35,RMRTPR,La Serena [El Romeral]
2023-01-01 19:00:00,-29.754064,-71.257442,13.76,13.855,13.94,RMRTPR,La Serena [El Romeral]
2023-01-01 20:00:00,-29.754064,-71.257442,13.91,13.91,13.91,RMRTPR,La Serena [El Romeral]
2023-01-01 01:00:00,-29.915015,-71.242214,12.1,12.34,12.64,LSCPR,La Serena [CEAZA]
2023-01-01 02:00:00,-29.915015,-71.242214,12.06,12.267,12.46,LSCPR,La Serena [CEAZA]
2023-01-01 03:00:00,-29.915015,-71.242214,11.79,11.892,12.11,LSCPR,La Serena [CEAZA]
2023-01-01 04:00:00,-29.915015,-71.242214,11.84,11.917,12.02,LSCPR,La Serena [CEAZA]
2023-01-01 05:00:00,-29.915015,-71.242214,11.21,11.473,11.95,LSCPR,La Serena [CEAZA]
2023-01-01 06:00:00,-29.915015,-71.242214,11.14,11.297,11.69,LSCPR,La Serena [CEAZA]
2023-01-01 07:00:00,-29.915015,-71.242214,11.87,12.633,13.57,LSCPR,La Serena [CEAZA]
2023-01-01 08:00:00,-29.915015,-71.242214,12.56,12.957,13.54,LSCPR,La Serena [CEAZA]
2023-01-01 09:00:00,-29.915015,-71.242214,12.17,12.663,13.45,LSCPR,La Serena [CEAZA]
2023-01-01 10:00:00,-29.915015,-71.242214,12.76,13.047,13.29,LSCPR,La Serena [CEAZA]
2023-01-01 11:00:00,-29.915015,-71.242214,12.08,12.782,13.47,LSCPR,La Serena [CEAZA]
2023-01-01 12:00:00,-29.915015,-71.242214,12.2,13.448,14.49,LSCPR,La Serena [CEAZA]
2023-01-01 13:00:00,-29.915015,-71.242214,14.33,14.897,15.46,LSCPR,La Serena [CEAZA]
2023-01-01 14:00:00,-29.915015,-71.242214,15.46,15.61,15.81,LSCPR,La Serena [CEAZA]
2023-01-01 15:00:00,-29.915015,-71.242214,15.68,15.765,15.88,LSCPR,La Serena [CEAZA]
2023-01-01 16:00:00,-29.915015,-71.242214,15.45,15.677,15.89,LSCPR,La Serena [CEAZA]
2023-01-01 17:00:00,-29.915015,-71.242214,15.37,15.507,15.6,LSCPR,La Serena [CEAZA]
2023-01-01 18:00:00,-29.915015,-71.242214,14.76,15.102,15.41,LSCPR,La Serena [CEAZA]
2023-01-01 19:00:00,-29.915015,-71.242214,14.48,14.592,14.74,LSCPR,La Serena [CEAZA]
2023-01-01 20:00:00,-29.915015,-71.242214,14.51,14.51,14.51,LSCPR,La Serena [CEAZA]
2023-01-01 01:00:00,-29.938475,-71.223505,10.95,11.278,11.83,CGRPR,La Serena [Cerro Grande]
2023-01-01 02:00:00,-29.938475,-71.223505,10.97,11.212,11.42,CGRPR,La Serena [Cerro Grande]
2023-01-01 03:00:00,-29.938475,-71.223505,10.77,10.92,11.07,CGRPR,La Serena [Cerro Grande]
2023-01-01 04:00:00,-29.938475,-71.223505,10.85,11.013,11.23,CGRPR,La Serena [Cerro Grande]
2023-01-01 05:00:00,-29.938475,-71.223505,11.14,11.299,11.56,CGRPR,La Serena [Cerro Grande]
2023-01-01 06:00:00,-29.938475,-71.223505,10.97,11.158,11.29,CGRPR,La Serena [Cerro Grande]
2023-01-01 07:00:00,-29.938475,-71.223505,10.49,10.842,11.21,CGRPR,La Serena [Cerro Grande]
2023-01-01 08:00:00,-29.938475,-71.223505,10.65,10.831,11.09,CGRPR,La Serena [Cerro Grande]
2023-01-01 09:00:00,-29.938475,-71.223505,10.77,10.934,11.11,CGRPR,La Serena [Cerro Grande]
2023-01-01 10:00:00,-29.938475,-71.223505,11.43,11.771,12.0,CGRPR,La Serena [Cerro Grande]
2023-01-01 11:00:00,-29.938475,-71.223505,10.54,11.784,12.39,CGRPR,La Serena [Cerro Grande]
2023-01-01 12:00:00,-29.938475,-71.223505,10.36,11.121,11.76,CGRPR,La Serena [Cerro Grande]
2023-01-01 13:00:00,-29.938475,-71.223505,11.39,13.364,14.5,CGRPR,La Serena [Cerro Grande]
2023-01-01 14:00:00,-29.938475,-71.223505,14.15,14.56,14.97,CGRPR,La Serena [Cerro Grande]
2023-01-01 01:00:00,-29.998736,-71.39852,13.37,13.713,13.97,PNLTPR,Coquimbo [El Panul]
2023-01-01 02:00:00,-29.998736,-71.39852,13.2,13.315,13.43,PNLTPR,Coquimbo [El Panul]
2023-01-01 03:00:00,-29.998736,-71.39852,13.39,13.673,13.91,PNLTPR,Coquimbo [El Panul]
2023-01-01 04:00:00,-29.998736,-71.39852,13.23,13.622,13.87,PNLTPR,Coquimbo [El Panul]
2023-01-01 05:00:00,-29.998736,-71.39852,12.74,12.895,13.18,PNLTPR,Coquimbo [El Panul]
2023-01-01 06:00:00,-29.998736,-71.39852,13.03,13.737,14.55,PNLTPR,Coquimbo [El Panul]
2023-01-01 07:00:00,-29.998736,-71.39852,14.07,14.563,14.78,PNLTPR,Coquimbo [El Panul]
2023-01-01 08:00:00,-29.998736,-71.39852,13.8,14.032,14.42,PNLTPR,Coquimbo [El Panul]
2023-01-01 09:00:00,-29.998736,-71.39852,13.82,14.025,14.3,PNLTPR,Coquimbo [El Panul]
2023-01-01 10:00:00,-29.998736,-71.39852,13.49,13.932,14.59,PNLTPR,Coquimbo [El Panul]
2023-01-01 11:00:00,-29.998736,-71.39852,13.89,14.587,15.1,PNLTPR,Coquimbo [El Panul]
2023-01-01 12:00:00,-29.998736,-71.39852,15.2,15.39,15.68,PNLTPR,Coquimbo [El Panul]
