time,latitud,longitud,min,prom,max,s_cod,nombre
2008-01-01 01:00:00,-29.754064,-71.257442,0.0,0.002,0.011,28,La Serena [El Romeral]
2008-01-01 02:00:00,-29.754064,-71.257442,0.0,0.003,0.011,28,La Serena [El Romeral]
2008-01-01 03:00:00,-29.754064,-71.257442,0.0,0.002,0.011,28,La Serena [El Romeral]
2008-01-01 04:00:00,-29.754064,-71.257442,0.0,0.002,0.007,28,La Serena [El Romeral]
2008-01-01 05:00:00,-29.754064,-71.257442,0.0,0.003,0.015,28,La Serena [El Romeral]
2008-01-01 06:00:00,-29.754064,-71.257442,0.004,11.453,25.432,28,La Serena [El Romeral]
2008-01-01 07:00:00,-29.754064,-71.257442,25.769,53.065,81.222,28,La Serena [El Romeral]
2008-01-01 08:00:00,-29.754064,-71.257442,79.323,130.694,194.068,28,La Serena [El Romeral]
2008-01-01 09:00:00,-29.754064,-71.257442,188.592,314.346,682.095,28,La Serena [El Romeral]
2008-01-01 10:00:00,-29.754064,-71.257442,380.309,748.689,1034.66,28,La Serena [El Romeral]
2008-01-01 11:00:00,-29.754064,-71.257442,389.151,879.637,996.708,28,La Serena [El Romeral]
2008-01-01 12:00:00,-29.754064,-71.257442,719.941,952.591,975.292,28,La Serena [El Romeral]
2008-01-01 13:00:00,-29.754064,-71.257442,928.296,952.843,977.703,28,La Serena [El Romeral]
2008-01-01 14:00:00,-29.754064,-71.257442,844.969,892.614,935.664,28,La Serena [El Romeral]
2008-01-01 15:00:00,-29.754064,-71.257442,706.54,780.322,844.417,28,La Serena [El Romeral]
2008-01-01 16:00:00,-29.754064,-71.257442,531.344,619.414,704.294,28,La Serena [El Romeral]
2008-01-01 17:00:00,-29.754064,-71.257442,201.857,429.297,528.173,28,La Serena [El Romeral]
2008-01-01 18:00:00,-29.754064,-71.257442,77.395,242.913,335.841,28,La Serena [El Romeral]
2008-01-01 19:00:00,-29.754064,-71.257442,4.491,53.369,146.081,28,La Serena [El Romeral]
2008-01-01 20:00:00,-29.754064,-71.257442,0.0,0.346,4.155,28,La Serena [El Romeral]
2008-01-01 21:00:00,-29.754064,-71.257442,0.0,0.002,0.007,28,La Serena [El Romeral]
2008-01-01 22:00:00,-29.754064,-71.257442,0.0,0.002,0.011,28,La Serena [El Romeral]
2008-01-01 23:00:00,-29.754064,-71.257442,0.0,0.002,0.007,28,La Serena [El Romeral]
2008-01-02 00:00:00,-29.754064,-71.257442,0.0,0.002,0.011,28,La Serena [El Romeral]
2008-01-02 01:00:00,-29.754064,-71.257442,0.0,0.002,0.007,28,La Serena [El Romeral]
2008-01-02 02:00:00,-29.754064,-71.257442,0.0,0.002,0.011,28,La Serena [El Romeral]
2008-01-02 03:00:00,-29.754064,-71.257442,0.0,0.002,0.007,28,La Serena [El Romeral]
2008-01-02 04:00:00,-29.754064,-71.257442,0.0,0.002,0.011,28,La Serena [El Romeral]
2008-01-02 05:00:00,-29.754064,-71.257442,0.0,0.002,0.007,28,La Serena [El Romeral]
2008-01-02 06:00:00,-29.754064,-71.257442,0.0,5.087,15.587,28,La Serena [El Romeral]
2008-01-02 07:00:00,-29.754064,-71.257442,14.665,27.068,40.047,28,La Serena [El Romeral]
2008-01-02 08:00:00,-29.754064,-71.257442,41.748,75.015,119.642,28,La Serena [El Romeral]
2008-01-02 09:00:00,-29.754064,-71.257442,107.266,134.829,181.044,28,La Serena [El Romeral]
2008-01-02 10:00:00,-29.754064,-71.257442,143.671,173.98,207.699,28,La Serena [El Romeral]
2008-01-02 11:00:00,-29.754064,-71.257442,147.351,207.04,357.254,28,La Serena [El Romeral]
2008-01-02 12:00:00,-29.754064,-71.257442,278.613,380.059,574.297,28,La Serena [El Romeral]
