time,latitud,longitud,min,prom,max,s_cod,nombre
2004-02-01 00:00:00,-29.754064,-71.257442,15.347,15.548,15.984,29,La Serena [El Romeral]
2004-02-01 01:00:00,-29.754064,-71.257442,15.189,15.419,15.573,29,La Serena [El Romeral]
2004-02-01 02:00:00,-29.754064,-71.257442,15.148,15.233,15.3,29,La Serena [El Romeral]
2004-02-01 03:00:00,-29.754064,-71.257442,15.122,15.252,15.306,29,La Serena [El Romeral]
2004-02-01 04:00:00,-29.754064,-71.257442,14.179,14.723,15.298,29,La Serena [El Romeral]
2004-02-01 05:00:00,-29.754064,-71.257442,13.927,14.135,14.302,29,La Serena [El Romeral]
2004-02-01 06:00:00,-29.754064,-71.257442,14.051,14.22,14.586,29,La Serena [El Romeral]
2004-02-01 07:00:00,-29.754064,-71.257442,14.614,15.431,15.868,29,La Serena [El Romeral]
2004-02-01 08:00:00,-29.754064,-71.257442,15.853,16.188,16.715,29,La Serena [El Romeral]
2004-02-01 09:00:00,-29.754064,-71.257442,16.725,16.928,17.319,29,La Serena [El Romeral]
2004-02-01 10:00:00,-29.754064,-71.257442,16.591,16.808,17.076,29,La Serena [El Romeral]
2004-02-01 11:00:00,-29.754064,-71.257442,16.935,17.286,17.675,29,La Serena [El Romeral]
2004-02-01 12:00:00,-29.754064,-71.257442,17.484,17.776,18.041,29,La Serena [El Romeral]
2004-02-01 13:00:00,-29.754064,-71.257442,17.862,18.558,19.436,29,La Serena [El Romeral]
2004-02-01 14:00:00,-29.754064,-71.257442,19.634,20.412,21.221,29,La Serena [El Romeral]
2004-02-01 15:00:00,-29.754064,-71.257442,20.219,20.684,21.34,29,La Serena [El Romeral]
2004-02-01 16:00:00,-29.754064,-71.257442,20.337,20.722,21.285,29,La Serena [El Romeral]
2004-02-01 17:00:00,-29.754064,-71.257442,20.185,21.064,21.644,29,La Serena [El Romeral]
2004-02-01 18:00:00,-29.754064,-71.257442,18.387,19.242,20.304,29,La Serena [El Romeral]
2004-02-01 19:00:00,-29.754064,-71.257442,17.504,18.064,18.571,29,La Serena [El Romeral]
2004-02-01 20:00:00,-29.754064,-71.257442,16.88,17.271,17.778,29,La Serena [El Romeral]
2004-02-01 21:00:00,-29.754064,-71.257442,16.807,16.906,17.128,29,La Serena [El Romeral]
2004-02-01 22:00:00,-29.754064,-71.257442,16.608,16.796,16.919,29,La Serena [El Romeral]
2004-02-01 23:00:00,-29.754064,-71.257442,16.585,16.668,16.759,29,La Serena [El Romeral]
2004-02-02 00:00:00,-29.754064,-71.257442,16.693,16.832,16.937,29,La Serena [El Romeral]
2004-02-02 01:00:00,-29.754064,-71.257442,16.846,16.972,17.076,29,La Serena [El Romeral]
2004-02-02 02:00:00,-29.754064,-71.257442,16.341,16.662,16.853,29,La Serena [El Romeral]
2004-02-02 03:00:00,-29.754064,-71.257442,15.879,16.037,16.336,29,La Serena [El Romeral]
2004-02-02 04:00:00,-29.754064,-71.257442,15.925,16.034,16.124,29,La Serena [El Romeral]
2004-02-02 05:00:00,-29.754064,-71.257442,15.94,16.079,16.315,29,La Serena [El Romeral]
2004-02-02 06:00:00,-29.754064,-71.257442,16.292,16.439,16.597,29,La Serena [El Romeral]
2004-02-02 07:00:00,-29.754064,-71.257442,16.114,16.233,16.464,29,La Serena [El Romeral]
2004-02-02 08:00:00,-29.754064,-71.257442,16.056,16.2,16.337,29,La Serena [El Romeral]
2004-02-02 09:00:00,-29.754064,-71.257442,16.219,16.431,16.769,29,La Serena [El Romeral]
2004-02-02 10:00:00,-29.754064,-71.257442,16.722,16.984,17.295,29,La Serena [El Romeral]
